id,city,name,category,price_usd,duration_hours
AC0168,Nashville,Honky Tonk Bar Crawl,Entertainment,0.0,3.0
AC0169,Nashville,Ryman Auditorium Tour,Culture,32.94,1.5
AC0170,Nashville,Nashville Food Tour,Food,65.57,3.0
AC0171,Nashville,Parthenon in Centennial Park,Culture,10.04,1.5
AC0172,Nashville,Belle Meade Historic Site,Culture,22.33,2.0
AC0173,Nashville,Nashville Zoo,Outdoor,17.12,3.0
AC0174,Nashville,Mammoth Cave Day Trip,Outdoor,55.55,6.0
AC0175,Nashville,Tennessee Whiskey Distillery Tour,Food,48.98,2.0
AC0176,Nashville,Pinewood Social,Entertainment,0.0,2.0
AC0177,Nashville,Music Row Walking Tour,Culture,20.96,2.0
AC0178,Nashville,Radnor Lake Hike,Outdoor,0.0,2.5
AC0179,Nashville,Nashville Sounds Baseball Game,Sports,15.55,3.0
AC0180,Nashville,Live at the Station Inn,Entertainment,15.86,2.0
