id,city,name,cuisine,price_range,rating
RS0190,Denver,Leven Deli,Jewish Deli,$,4.8
RS0191,Denver,Mizuna,American,$,4.4
RS0192,Denver,Jax Fish House,Seafood,$$,4.0
RS0193,Denver,Fruition,American,$,3.3
RS0194,Denver,El Five,Mediterranean,$,4.0
RS0195,Denver,Tavernetta,Italian,$$,3.2
RS0196,Denver,Linger,International,$$$,4.9
RS0197,Denver,ViewHouse,American,$$$,3.2
RS0198,Denver,Hop Alley,Chinese,$$$,4.5
RS0199,Denver,Williams & Graham,American,$$$$,3.8
RS0200,Denver,Brider,American,$,4.0
RS0201,Austin,Franklin Barbecue,BBQ,$$$$,4.4
RS0202,Austin,Uchi,Japanese,$,4.6
RS0203,Austin,Odd Duck,American,$$$$,3.3
RS0204,Austin,Sour Duck Market,American,$$$,3.5
RS0205,Austin,La Barbecue,BBQ,$,4.3
RS0206,Austin,Launderette,American,$,3.1
RS0207,Austin,Lenoir,American,$$,4.0
RS0208,Austin,Ramen Tatsu-ya,Japanese,$,3.4
RS0209,Austin,Barley Swine,American,$$,4.9
RS0210,Austin,1886 Cafe & Bakery,American,$$,4.0
RS0211,Austin,Qui,American,$$$,3.8
RS0212,Austin,Justine's Brasserie,French,$$$$,3.0
RS0213,Austin,Uchiko,Japanese,$$$,4.0
RS0214,Austin,Salt & Time,American,$$$$,4.1
RS0215,Austin,Emmer & Rye,American,$,3.4
RS0216,Austin,Juniper,American,$,3.4
RS0217,Austin,Loro,Asian BBQ,$$$$,3.0
RS0218,Austin,Vera Cruz All Natural,Mexican,$,4.2
RS0219,Austin,Valentina's Tex Mex BBQ,Tex-Mex,$$$,4.0
RS0220,Austin,Fresa's,Mexican,$$,3.8
RS0221,Nashville,Prince's Hot Chicken,Southern,$$,4.1
RS0222,Nashville,The Catbird Seat,American,$$$,3.5
RS0223,Nashville,Rolf and Daughters,Italian,$$$,4.0
RS0224,Nashville,Husk Nashville,Southern,$$,4.7
RS0225,Nashville,Arnold's Country Kitchen,Southern,$$$,3.7
RS0226,Nashville,City House,Italian,$$$,4.8
RS0227,Nashville,The Pharmacy Burger,American,$$$$,3.2
RS0228,Nashville,Mas Tacos,Mexican,$$$,3.9
RS0229,Nashville,Josephine,American,$$$$,4.2
RS0230,Nashville,Sinema,American,$$$$,3.4
RS0231,Nashville,Bastion,American,$,3.1
RS0232,Nashville,Chauhan Ale & Masala House,Indian,$,4.5
RS0233,Nashville,The Southern Steak,American,$$,3.4
RS0234,Nashville,Margot Cafe,French/Italian,$$$,4.7
RS0235,Nashville,Henrietta Red,Seafood,$$,4.8
RS0236,Nashville,Milk and Honey,American,$$$,3.7
RS0237,Nashville,Butcher & Bee,American,$,4.3
RS0238,Nashville,Etch,American,$$,4.1
RS0239,Nashville,Dino's,American,$$$,3.4
RS0240,Nashville,Attaboy,American,$,3.6
